"ID_muestra","N_Vaca","Muestreo","ED","DEL","Estado","Estado_n","NP","PL","CE","CCS","SCCS","Resultado","","","",""
"742-4","742","4","86","261","Gestante","1","5","14.3","6.3","258000","4.37","1","","","",""
"953-7","953","7","34","217","Gestante","1","1","12.6","6.2","259000","4.37","1","","","",""
"216-2","216","2","91","167","Inseminada","3","4","14.9","7.3","257000","4.36","1","","","",""
"953-2","953","2","33","181","Inseminada","3","1","12.2","6.2","249000","4.32","1","","","",""
"232-9","232","9","92","62","Abierta","2","5","13.5","6.2","248000","4.31","1","","","",""
"1546-9","1546","9","60","172","Gestante","1","3","13.7","6.8","247000","4.3","1","","","",""
"216-4","216","4","91","181","Inseminada","3","4","16.1","7.3","255000","4.35","1","","","",""
"759-3","759","3","78","70","Inseminada","3","5","19.5","7.2","251000","4.33","1","","","",""
"212-6","212","6","92","45","Abierta","2","4","20.3","7.1","250000","4.32","1","","","",""
"918-2","918","2","38","333","Gestante","1","1","8.6","5.7","262000","4.39","1","","","",""
"831-4","831","4","59","11","Abierta","2","3","14.1","6.9","276000","4.46","1","","","",""
"58-7","58","7","145","153","No gestante","#N/A","8","17.4","8.3","274000","4.45","1","","","",""
"947-11","947","11","36","252","Gestante","1","1","16.4","6.5","274000","4.45","1","","","",""
"1056-2","1056","2","93","234","Inseminada","3","5","15.6","6.9","279000","4.48","1","","","",""
"216-5","216","5","92","188","Inseminada","3","4","15.5","6.2","279000","4.48","1","","","",""
"947-8","947","8","36","230","Gestante","1","1","14.2","6.1","277000","4.47","1","","","",""
"58-8","58","8","145","159","No gestante","#N/A","8","16","4","267000","4.42","1","","","",""
"78-4","78","4","75","309","Gestante","1","4","14.2","6.2","267000","4.42","1","","","",""
"1946-4","1946","4","90","6","Abierta","2","5","11.1","5","266000","4.41","1","","","",""
"58-10","58","10","146","174","No gestante","#N/A","8","15.5","8.6","273000","4.45","1","","","",""
"197-3","197","3","59","53","Abierta","2","4","18.3","5.9","273000","4.45","1","","","",""
"922-7","922","7","38","352","Gestante","1","1","10.9","5.8","269000","4.43","1","","","",""
"216-8","216","8","92","209","Inseminada","3","4","15.8","5.3","229000","4.2","1","","","",""
"777-8","777","8","72","64","Inseminada","3","4","17.4","6.9","230000","4.2","1","","","",""
"197-8","197","8","60","88","Inseminada","3","4","19.1","9.9","228000","4.19","1","","","",""
"19-11","19","11","96","25","Abierta","2","7","17.9","6.6","230000","4.2","1","","","",""
"1523-4","1523","4","65","2","Abierta","2","4","11.7","6.4","230000","4.2","1","","","",""
"219-8","219","8","92","145","Inseminada","3","4","17.7","6.9","229000","4.2","1","","","",""
"35-1","35","1","152","45","Inseminada","3","5","21.3","7.5","224000","4.16","1","","","",""
"197-10","197","10","60","103","Inseminada","3","4","20","6.2","223000","4.16","1","","","",""
"829-11","829","11","61","21","Abierta","2","4","16.2","7.3","221000","4.14","1","","","",""
"58-11","58","11","146","181","No gestante","#N/A","8","12.4","8.3","226000","4.18","1","","","",""
"922-1","922","1","37","309","Gestante","1","1","9.6","5.7","226000","4.18","1","","","",""
"742-8","742","8","87","289","Gestante","1","5","13.4","6.3","225000","4.17","1","","","",""
"1056-4","1056","4","93","248","Inseminada","3","5","15.9","6.9","231000","4.21","1","","","",""
"1931-3","1931","3","85","39","Abierta","2","6","18.9","7","240000","4.26","1","","","",""
"2218-4","2218","4","44","279","Gestante","1","2","14.1","6.1","238000","4.25","1","","","",""
"796-1","796","1","65","22","Abierta","2","4","16.3","7","236000","4.24","1","","","",""
"742-9","742","9","87","296","Gestante","1","5","11.3","6.3","242000","4.28","1","","","",""
"241-5","241","5","80","316","Abierta","2","3","10.5","6.4","243000","4.28","1","","","",""
"918-1","918","1","38","326","Gestante","1","1","9","6","240000","4.26","1","","","",""
"686-9","686","9","108","245","Inseminada","3","6","3.9","5.4","232000","4.21","1","","","",""
"777-11","777","11","73","86","Inseminada","3","4","16.9","7.1","231000","4.21","1","","","",""
"759-2","759","2","78","63","Inseminada","3","5","18.3","7","231000","4.21","1","","","",""
"50-11","50","11","115","271","Gestante","1","5","13","7.9","237000","4.24","1","","","",""
"830-4","830","4","59","181","Gestante","1","3","15.2","6.6","233000","4.22","1","","","",""
"953-6","953","6","34","209","Gestante","1","1","11.9","5.7","231000","4.21","1","","","",""
"829-10","829","10","61","14","Abierta","2","4","18.4","6.4","281000","4.49","1","","","",""
"240-2","240","2","91","87","Abierta","2","5","11.7","6.7","321000","4.68","1","","","",""
"241-11","241","11","81","359","Estéril","5","3","11.3","6.2","318000","4.67","1","","","",""
"232-6","232","6","92","41","Abierta","2","5","13.2","6.5","220000","4.14","1","","","",""
"1931-4","1931","4","85","46","Abierta","2","6","17.9","9.9","323000","4.69","1","","","",""
"898-3","898","3","44","395","Gestante","1","1","12.7","6","323000","4.69","1","","","",""
"197-11","197","11","60","110","Inseminada","3","4","20.1","6.3","320000","4.68","1","","","",""
"216-6","216","6","92","195","Inseminada","3","4","16.3","7.5","316000","4.66","1","","","",""
"78-8","78","8","76","337","Gestante","1","4","13.2","6.2","314000","4.65","1","","","",""
"831-3","831","3","59","4","Abierta","2","3","10.7","7.2","312000","4.64","1","","","",""
"953-4","953","4","34","195","Gestante","1","1","11.1","6.6","319000","4.67","1","","","",""
"904-9","904","9","44","38","Abierta","2","2","16.5","8.3","318000","4.67","1","","","",""
"197-7","197","7","59","82","Inseminada","3","4","21.4","6.4","316000","4.66","1","","","",""
"777-4","777","4","71","36","Abierta","2","4","13.6","7.4","325000","4.7","1","","","",""
"1939-9","1939","9","86","298","Gestante","1","5","3.9","8.4","336000","4.75","1","","","",""
"216-1","216","1","91","160","Inseminada","3","4","16.3","7","333000","4.74","1","","","",""
"914-11","914","11","42","164","Gestante","1","2","15.7","6.3","217000","4.12","1","","","",""
"1056-8","1056","8","94","276","Gestante","1","5","15.3","6.9","348000","4.8","1","","","",""
"977-6","977","6","29","113","Inseminada","3","1","12.7","6","347000","4.79","1","","","",""
